area,status,roomType,utilities,price
37,0,tro,"['wifi', 'bếp', 'máy giặt', 'điều hoà', 'nóng lạnh']",1400
22,1,tro,"['điều hoà', 'nóng lạnh', 'wifi']",1900
34,0,tro,"['tủ lạnh', 'điều hoà', 'máy giặt', 'tủ quần áo', 'wifi']",1500
38,0,tro,['nóng lạnh'],1700
23,0,tro,"['wifi', 'tủ quần áo', 'máy giặt', 'nóng lạnh', 'bếp']",1100
11,0,tro,"['điều hoà', 'nóng lạnh', 'tủ quần áo', 'bếp']",1500
18,0,tro,['nóng lạnh'],1600
40,0,tro,"['wifi', 'máy giặt', 'bếp', 'nóng lạnh', 'tủ lạnh']",2200
26,0,tro,"['bếp', 'wifi', 'tủ lạnh', 'tủ quần áo', 'điều hoà', 'máy giặt']",2700
25,0,tro,"['tủ quần áo', 'máy giặt', 'nóng lạnh']",1100
22,0,tro,"['nóng lạnh', 'điều hoà']",1400
39,0,tro,"['bếp', 'tủ lạnh', 'tủ quần áo', 'wifi', 'máy giặt', 'điều hoà', 'nóng lạnh']",2000
35,1,tro,"['wifi', 'bếp']",2100
36,1,tro,"['tủ quần áo', 'máy giặt', 'điều hoà', 'wifi', 'tủ lạnh']",2600
19,0,tro,"['điều hoà', 'máy giặt', 'bếp', 'tủ lạnh', 'tủ quần áo', 'nóng lạnh']",1800
40,1,tro,['điều hoà'],1700
25,1,tro,"['điều hoà', 'nóng lạnh', 'máy giặt']",2300
21,0,tro,"['tủ quần áo', 'wifi', 'điều hoà', 'tủ lạnh', 'bếp']",2000
28,1,tro,"['tủ quần áo', 'điều hoà']",1000
38,1,tro,"['tủ lạnh', 'máy giặt', 'bếp']",1600
39,0,tro,"['bếp', 'điều hoà', 'máy giặt', 'tủ lạnh']",1200
16,1,tro,"['bếp', 'wifi', 'máy giặt', 'nóng lạnh']",2000
26,0,tro,['bếp'],1100
14,1,tro,"['tủ lạnh', 'điều hoà', 'bếp', 'wifi', 'tủ quần áo', 'nóng lạnh', 'máy giặt']",2500
19,0,tro,"['tủ lạnh', 'wifi']",1500
14,0,tro,['bếp'],2800
34,0,tro,"['tủ quần áo', 'máy giặt']",1000
13,1,tro,"['điều hoà', 'máy giặt', 'wifi']",1000
29,1,tro,"['bếp', 'nóng lạnh', 'wifi', 'tủ lạnh']",1800
35,1,tro,"['máy giặt', 'tủ lạnh', 'tủ quần áo', 'điều hoà']",2000
18,0,tro,"['tủ lạnh', 'máy giặt', 'điều hoà', 'tủ quần áo', 'bếp', 'wifi']",1000
39,0,tro,['điều hoà'],1200
27,0,tro,"['bếp', 'wifi', 'điều hoà']",2500
32,1,tro,"['bếp', 'tủ lạnh', 'điều hoà', 'nóng lạnh', 'máy giặt', 'tủ quần áo']",2100
35,0,tro,"['máy giặt', 'điều hoà', 'tủ lạnh']",1300
29,0,tro,['tủ quần áo'],1800
38,1,tro,"['bếp', 'tủ lạnh', 'tủ quần áo']",2100
14,0,tro,"['wifi', 'bếp', 'máy giặt', 'nóng lạnh', 'tủ quần áo']",2900
19,0,tro,"['điều hoà', 'tủ lạnh']",1100
13,0,tro,"['tủ quần áo', 'máy giặt', 'wifi']",2900
33,1,tro,"['tủ lạnh', 'bếp', 'tủ quần áo', 'điều hoà', 'nóng lạnh']",2900
12,0,tro,"['điều hoà', 'máy giặt', 'tủ lạnh', 'wifi', 'nóng lạnh', 'bếp']",1100
38,0,tro,"['tủ quần áo', 'máy giặt', 'tủ lạnh', 'bếp', 'điều hoà', 'nóng lạnh', 'wifi']",1500
37,0,tro,"['bếp', 'tủ lạnh']",2100
31,1,tro,"['wifi', 'nóng lạnh', 'bếp', 'điều hoà', 'tủ quần áo', 'máy giặt']",1500
20,1,tro,"['tủ quần áo', 'bếp']",2600
25,1,tro,"['tủ lạnh', 'nóng lạnh', 'tủ quần áo', 'bếp']",1400
27,1,tro,"['tủ quần áo', 'máy giặt', 'wifi', 'tủ lạnh', 'bếp', 'nóng lạnh']",2300
13,0,tro,['máy giặt'],1500
21,1,tro,"['điều hoà', 'tủ lạnh', 'wifi', 'máy giặt', 'nóng lạnh', 'bếp', 'tủ quần áo']",2000
23,0,tro,"['bếp', 'nóng lạnh', 'wifi', 'tủ lạnh', 'tủ quần áo', 'điều hoà', 'máy giặt']",2500
20,1,tro,"['bếp', 'tủ lạnh']",1400
29,1,tro,"['nóng lạnh', 'tủ quần áo', 'máy giặt', 'bếp']",1500
30,1,tro,['điều hoà'],2200
39,1,tro,"['máy giặt', 'nóng lạnh']",2300
16,0,tro,['wifi'],1200
40,0,tro,"['tủ lạnh', 'điều hoà', 'bếp']",2000
27,0,tro,"['wifi', 'điều hoà']",1200
25,1,tro,"['điều hoà', 'nóng lạnh', 'bếp', 'máy giặt']",2700
24,1,tro,['bếp'],1100
37,0,tro,"['máy giặt', 'điều hoà']",1700
26,1,tro,"['điều hoà', 'máy giặt', 'bếp', 'tủ quần áo']",1800
18,0,tro,['máy giặt'],1700
11,1,tro,"['tủ lạnh', 'tủ quần áo', 'điều hoà']",1500
35,0,tro,['tủ quần áo'],2800
39,0,tro,"['wifi', 'tủ quần áo']",1500
27,0,tro,"['máy giặt', 'tủ quần áo', 'nóng lạnh']",2900
39,1,tro,"['tủ quần áo', 'máy giặt', 'tủ lạnh', 'bếp']",2300
10,1,tro,['wifi'],1500
12,0,tro,"['điều hoà', 'tủ lạnh', 'bếp', 'wifi', 'tủ quần áo', 'nóng lạnh', 'máy giặt']",2100
33,1,tro,"['nóng lạnh', 'điều hoà', 'bếp', 'wifi', 'tủ lạnh', 'máy giặt', 'tủ quần áo']",2500
36,1,tro,"['nóng lạnh', 'bếp', 'điều hoà', 'tủ quần áo', 'máy giặt', 'tủ lạnh']",1200
22,0,tro,"['tủ lạnh', 'nóng lạnh', 'điều hoà', 'bếp', 'wifi', 'máy giặt']",1900
32,0,tro,"['máy giặt', 'tủ quần áo']",1000
36,0,tro,"['điều hoà', 'nóng lạnh', 'tủ lạnh']",1200
35,1,tro,"['tủ lạnh', 'bếp', 'điều hoà', 'nóng lạnh', 'tủ quần áo']",1000
31,0,tro,"['bếp', 'tủ lạnh']",1300
30,0,tro,"['bếp', 'nóng lạnh', 'điều hoà', 'tủ quần áo', 'tủ lạnh', 'wifi']",2600
10,0,tro,['tủ lạnh'],2400
29,0,tro,"['nóng lạnh', 'tủ lạnh', 'máy giặt', 'wifi', 'điều hoà']",2000
25,0,tro,['tủ quần áo'],2200
36,1,tro,"['bếp', 'máy giặt', 'điều hoà', 'nóng lạnh', 'tủ lạnh']",2000
37,0,tro,"['nóng lạnh', 'wifi', 'tủ quần áo', 'bếp', 'tủ lạnh', 'máy giặt', 'điều hoà']",2500
20,1,tro,"['tủ quần áo', 'máy giặt']",1000
17,1,tro,['nóng lạnh'],1100
33,0,tro,['tủ lạnh'],2500
20,0,tro,"['tủ quần áo', 'tủ lạnh', 'điều hoà']",2400
32,1,tro,"['bếp', 'điều hoà', 'wifi', 'nóng lạnh', 'tủ lạnh', 'máy giặt']",1500
37,1,tro,"['điều hoà', 'tủ lạnh', 'wifi', 'bếp', 'máy giặt']",2000
12,1,tro,"['tủ lạnh', 'điều hoà', 'wifi']",1300
16,0,tro,"['bếp', 'wifi', 'tủ lạnh', 'tủ quần áo']",1500
39,0,tro,"['wifi', 'điều hoà']",1400
28,0,tro,"['tủ lạnh', 'wifi', 'điều hoà', 'tủ quần áo', 'nóng lạnh']",1200
17,0,tro,"['máy giặt', 'điều hoà', 'wifi', 'tủ lạnh', 'bếp']",2700
17,1,tro,"['máy giặt', 'tủ quần áo', 'nóng lạnh']",2000
35,0,tro,"['bếp', 'tủ lạnh']",1300
40,0,tro,"['wifi', 'điều hoà', 'tủ quần áo', 'nóng lạnh', 'tủ lạnh', 'bếp']",1500
14,1,tro,"['máy giặt', 'wifi', 'bếp']",2700
35,1,tro,"['bếp', 'tủ lạnh', 'tủ quần áo']",2900
27,1,tro,"['tủ quần áo', 'nóng lạnh', 'máy giặt', 'tủ lạnh', 'điều hoà', 'bếp', 'wifi']",1800
24,0,tro,"['tủ quần áo', 'điều hoà', 'máy giặt', 'tủ lạnh', 'bếp', 'wifi', 'nóng lạnh']",1900
12,0,tro,"['tủ quần áo', 'bếp', 'nóng lạnh', 'máy giặt', 'wifi', 'điều hoà', 'tủ lạnh']",1600
12,0,tro,"['điều hoà', 'nóng lạnh', 'tủ quần áo', 'tủ lạnh', 'máy giặt', 'wifi', 'bếp']",2500
20,0,tro,"['tủ lạnh', 'nóng lạnh', 'điều hoà', 'tủ quần áo', 'bếp', 'wifi']",2300
38,0,tro,['nóng lạnh'],2300
26,1,tro,"['wifi', 'điều hoà', 'tủ lạnh', 'máy giặt', 'bếp', 'nóng lạnh']",2900
39,1,tro,"['máy giặt', 'wifi', 'điều hoà', 'nóng lạnh', 'tủ lạnh', 'bếp']",1300
25,0,tro,"['điều hoà', 'nóng lạnh', 'bếp', 'tủ lạnh', 'wifi']",2400
13,0,tro,['wifi'],1400
19,0,tro,"['bếp', 'tủ quần áo', 'điều hoà', 'tủ lạnh', 'wifi', 'nóng lạnh']",2100
27,1,tro,"['bếp', 'tủ lạnh', 'tủ quần áo', 'điều hoà', 'wifi', 'nóng lạnh']",1900
19,1,tro,"['tủ lạnh', 'máy giặt', 'nóng lạnh', 'tủ quần áo', 'wifi', 'điều hoà', 'bếp']",1000
32,0,tro,"['máy giặt', 'tủ lạnh', 'bếp', 'điều hoà', 'wifi', 'nóng lạnh']",2600
13,0,tro,"['wifi', 'máy giặt', 'bếp', 'nóng lạnh', 'điều hoà']",2900
27,0,tro,"['wifi', 'điều hoà', 'bếp', 'tủ lạnh', 'máy giặt']",1400
20,0,tro,"['tủ lạnh', 'máy giặt', 'nóng lạnh', 'wifi', 'điều hoà', 'bếp']",2300
36,0,tro,"['tủ lạnh', 'nóng lạnh', 'tủ quần áo', 'wifi', 'máy giặt', 'điều hoà']",1900
39,0,tro,"['máy giặt', 'tủ lạnh', 'wifi', 'nóng lạnh', 'bếp', 'điều hoà', 'tủ quần áo']",1100
27,0,tro,"['nóng lạnh', 'tủ quần áo', 'bếp', 'wifi', 'máy giặt', 'tủ lạnh', 'điều hoà']",2700
16,1,tro,"['máy giặt', 'wifi', 'bếp', 'nóng lạnh', 'tủ quần áo', 'tủ lạnh', 'điều hoà']",1000
40,0,tro,['tủ lạnh'],2800
35,1,tro,"['tủ quần áo', 'điều hoà', 'wifi']",2000
29,1,tro,"['máy giặt', 'nóng lạnh', 'tủ quần áo', 'tủ lạnh', 'bếp']",1500
27,0,tro,"['bếp', 'tủ lạnh', 'máy giặt', 'nóng lạnh']",1000
28,1,tro,"['tủ quần áo', 'wifi', 'nóng lạnh', 'điều hoà', 'máy giặt', 'bếp', 'tủ lạnh']",2500
19,1,tro,"['wifi', 'điều hoà', 'bếp']",2200
24,0,tro,"['nóng lạnh', 'bếp', 'tủ lạnh', 'wifi', 'tủ quần áo']",2500
12,0,tro,['điều hoà'],1000
29,1,tro,['bếp'],2600
35,0,tro,"['máy giặt', 'bếp', 'nóng lạnh', 'tủ lạnh', 'điều hoà', 'tủ quần áo', 'wifi']",1300
